Census_date,Census_year,Site,Transect_plot,Quad,Band_color,Band_num,Xcoord,Ycoord,Phenology,Stem_diam_mm,Height_cm,Num_total_branches,Longest_leaf_cm,Num_flowers,Num_fruits,Longest_fruit_cm,Num_repro_branches,Herbivory,Notes,Band,Pick_color,Sword_color,Tag,2018tag,2019tag,Buds,Canopy_width_cm,Category_herbivory,Year_marked,Leaf_thickness_mm,Num_leaves,Collected_by,Date_entered,Entered_by
8/13/2026,2026,WL2,202D,4,red,639,8,30,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201A,0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201B,0,NA,NA,NA,NA,V,<1,3.4,1,0.6,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201C,4,NA,NA,NA,NA,V,<1,2.6,1,0.5,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201C,4,NA,NA,NA,NA,V,<1,2.3,1,0.4,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,5,purple,103,44,37,P,1.99,11.5,1,NA,0,5,4.4,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,5,purple,120,44,36,P,0.59,10.5,1,NA,0,3,3.2,1,0,measured stem diam because pheno was P but plant was dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,2.5,1,0.5,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,3.2,1,0.2,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,2.8,1,0.6,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,201A,1,purple,17,29,48,P,1.61,15,1,NA,0,17,5.2,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201B,1.5,orange,30,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Found buried band, possibly red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201D,0,purple,345,50,24,P,1.21,12.5,1,NA,0,6,4.1,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201D,0,purple,889,36,36,P,1.45,19.6,1,NA,0,4,4.3,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201D,1,NA,NA,NA,NA,V,<1,4.5,1,0.6,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,201D,1,NA,NA,NA,NA,V,<1,2.5,1,0.3,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,2,NA,NA,NA,NA,V,<1,4.6,1,0.5,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,85,25,38,P,2.83,17.8,1,NA,0,3,5.9,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,308,12,47,P,2.13,14.2,1,NA,0,3,3.3,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,3.5,1,0.5,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,2.8,1,0.5,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,3.9,1,1,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,4.3,1,0.7,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,1.8,1,0.5,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,0,NA,NA,NA,NA,V,<1,3.4,1,1.4,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202B,3,purple,48,14,27,P,1.81,11.2,1,NA,0,16,4.6,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202C,2,purple,708,33,23,P,1.43,7,1,NA,0,1,2.5,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202C,3,purple,106,35,1,P,3.06,23.5,1,NA,0,11,3.6,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202C,3,purple,70,46,5,P,1.52,19.4,1,NA,0,4,5.1,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202D,0,red,48,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,found band but no plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202D,0,purple,734,12,10,P,2.34,18.6,1,NA,0,18,4,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202D,0.5,white,227,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,found band but no plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Maya,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,109,26,50,F,1.08,9.2,1,NA,0,NA,NA,1,0,All flowers dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,30,45,41,P,2.12,15.8,1,NA,0,7,4.6,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,57,41,41,P,1.5,15,1,NA,0,2,4.9,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,71,50,47,P,1.55,18.5,1,NA,0,1,2.5,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,12,50,50,P,1.4,11.3,1,NA,0,1,1,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202A,3,purple,37,31,44,B,1.44,7.1,1,NA,NA,NA,NA,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202B,1,NA,NA,NA,NA,V,<1,3.3,1,0.6,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202B,1,purple,51,9,44,V,2,5.2,1,1.6,NA,NA,NA,NA,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202B,1,purple,102,26,0,P,2.46,19.9,1,NA,0,19,7.2,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202B,2,purple,723,43,28,P,1.37,14.4,1,NA,0,5,4,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202C,1,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202C,1,purple,60,41,31,P,2,21.9,1,NA,NA,28,6.1,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202C,4,purple,834,0,38,P,1.74,11.1,1,NA,NA,1,2.9,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202D,1,purple,94A,25,12,P,2.1,16.1,1,NA,NA,20,4.5,1,0,Added A to band number since there is another purple 94 in same quadrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202D,1,purple,29,40,14,P,1.32,13.2,1,NA,NA,4,3.2,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202D,1,purple,94B,40,20,P,1.21,18.9,1,NA,NA,3,3.6,1,0,Added B to band number since there is another purple 94 in same quadrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202D,1,purple,12,40,26,P,1.84,12,1,NA,NA,1,0.5,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
8/13/2026,2026,WL2,202D,1,purple,79,40,20,P,1.47,10.5,1,NA,NA,1,0.7,1,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ben and Joyoti,8/21/2026,Maya
