"Transect_plot","Quad","Phenology","Xcoord","Ycoord","Band_color","Pick_color","Sword_color","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Herbivory","Notes","Collected_by","Census_date","Site","Census_year","Band","Band_num","Tag","2018tag","2019tag","Category_herbivory","Canopy_width_cm","Leaf_thickness_mm","Year_marked","Buds","Entered_by","Num_leaves","Date_entered","Stem_diam_mm_UFA"
"3","1.5","V",30,39,"orange",NA,NA,"1.02","4.4",4,"0.7",NA,NA,NA,NA,"no","#84","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02
"2","2","V",41,22,"orange",NA,NA,"1.0","2.8",4,"0.5",NA,NA,NA,NA,"no","#9","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","2.5","V",12,22,"orange",NA,NA,"1.0","2.6",1,"0.7",NA,NA,NA,NA,"no","#45","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","2.5","V",18,26,"orange",NA,NA,"<1","1.7",1,"0.5",NA,NA,NA,NA,"no","#32","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",28,21,"orange",NA,NA,"<1","3.2",2,"0.8",NA,NA,NA,NA,"no","#18","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",40,41,"orange",NA,NA,"1.0","3.5",2,"0.9",NA,NA,NA,NA,"no","#51","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","3","V",2,12,"orange",NA,NA,"<1","3.1",3,"0.5",NA,NA,NA,NA,"no","#35","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",8,29,"orange",NA,NA,"1.0","4.1",2,"1.1",NA,NA,NA,NA,"no","#38","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","3.5","V",9,7,"orange",NA,NA,"<1","4.2",3,"0.6",NA,NA,NA,NA,"no","#28","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",9,10,"orange",NA,NA,"<1","5.1",3,"1.2",NA,NA,NA,NA,"no","#27","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","P",15,6,"orange",NA,NA,"<1","7.8",2,NA,NA,"1.0",1.5,1,"no","#26","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",16,3,"orange",NA,NA,"<1","2.1",2,"0.4",NA,NA,NA,NA,"no","#15","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",18,5,"orange",NA,NA,"<1","3.4",3,"0.6",NA,NA,NA,NA,"yes","#31","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",27,22,"orange",NA,NA,"<1","2.4",2,"0.6",NA,NA,NA,NA,"no","#47","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",30,6,"orange",NA,NA,"<1","4.7",1,"1.1",NA,NA,NA,NA,"no","#10","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",30,9,"orange",NA,NA,"1.2","3.4",3,"0.7",NA,NA,NA,NA,"no","#3","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
"2","3.5","V",35,30,"orange",NA,NA,"<1","2.6",2,"0.5",NA,NA,NA,NA,"no","#44","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","3.5","V",35,33,"orange",NA,NA,"<1","3.4",1,"1.1",NA,NA,NA,NA,"no","#11","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","4","V",2,13,"orange",NA,NA,"<1","5",3,"0.9",NA,NA,NA,NA,"no","#29","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","4","V",5,23,"orange",NA,NA,"<1","1.5",2,"0.4",NA,NA,NA,NA,"no","#34","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","4","V",7,21,"orange",NA,NA,"1.0","3.3",1,"1.2",NA,NA,NA,NA,"no","#53","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","4","V",35,14,"orange",NA,NA,"<1","4.5",3,"0.8",NA,NA,NA,NA,"no","#62","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","4.5","V",30,10,"orange",NA,NA,"<1","1.8",1,"0.4",NA,NA,NA,NA,"no","#19","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","4.5","V",32,12,"orange",NA,NA,"<1","1.8",1,"0.3",NA,NA,NA,NA,"no","#22","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","4.5","V",35,25,"orange",NA,NA,"<1","3",3,"0.7",NA,NA,NA,NA,"no","#43","Eva & Mimi",2018-08-28,"YOSE7",2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","0","V",NA,NA,NA,NA,NA,"<1","0.8",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","0","V",NA,NA,NA,NA,NA,"<1","0.6",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","0","V",43,2,NA,NA,NA,"1.02","3.6",3,"0.7",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02
"2","0","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","0","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N","copied x2","Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","0","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","0","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","0.5","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","2.1",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.6",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.6",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.3",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.3",NA,NA,NA,NA,"N","copied x3","Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.5",NA,NA,NA,NA,"N","copied x2","Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N","copied x6","Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.5",1,"0.4",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",15,3,NA,NA,NA,"1.65","4.8",4,"1.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.6",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.3",NA,NA,NA,NA,"N","copied x3","Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","1.5","V",NA,NA,NA,NA,NA,"<1","1.6",1,"0.5",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2","V",NA,NA,NA,NA,NA,"<1","0.7",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2","V",NA,NA,NA,NA,NA,"<1","0.8",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2","V",NA,NA,NA,NA,NA,"<1","0.7",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2","V",NA,NA,NA,NA,NA,"<1","0.5",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","F",NA,NA,NA,NA,NA,"1.11","7.5",4,NA,"9.0",NA,NA,4,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.11
"2","2.5","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2.5","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2.5","F",NA,NA,NA,NA,NA,"1.01","9.5",4,NA,"7.0",NA,NA,4,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.3",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.2",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.1",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N","copied x13","Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","1.0",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N","copied x25","Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
"2","2.5","V",NA,NA,NA,NA,NA,"<1","0.9",1,"0.2",NA,NA,NA,NA,"N",NA,"Maya & Eva",2019-07-30,"YOSE7",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
