"Census_date","Site","Transect_plot","Quad","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Canopy_width_cm","Num_total_branches","Phenology","Num_flowers","Num_fruits","Longest_fruit_cm","Notes","Band","Band_num","Band_color","Pick_color","Sword_color","Tag","2018tag","2019tag","Buds","Longest_leaf_cm","Herbivory","Category_herbivory","Year_marked","Num_repro_branches","Leaf_thickness_mm","Census_year","Collected_by","Date_entered","Num_leaves","Entered_by","Stem_diam_mm_UFA"
2016-08-04,"WL2","201","148",29,11,"0.58","7.5",5.5,2,"P","0.0","2.0",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","149",23,42,"1.07","9.0",17,2,"F","4.0","2.0",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.07
2016-08-04,"WL2","201","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","153",40,11,"1.77","12.0",13.5,3,"F","3.0","2.0",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.77
2016-08-04,"WL2","201","154",15,34,"1.45","16.0",14,3,"P","0.0","4.0",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.45
2016-08-04,"WL2","201","154",13,32,"0.7","9.5",7,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","154",12,37,"0.91","6.5",4,1,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","154",20,11,"1.45","15.5",16,3,"P","0.0","6.0",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.45
2016-08-04,"WL2","201","154",45,4,"1.0","12.0",12,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
2016-08-04,"WL2","201","155",3,18,"0.9","3.0",8,1,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","155",17,31,"1.03","8.5",6,1,"P","0.0","1.0",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.03
2016-08-04,"WL2","201","155",12,50,"1.19","5.5",10,2,"P","0.0","2.0",3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.19
2016-08-04,"WL2","201","156",12,3,"0.77","2.5",4.5,2,"P","0.0","1.0",1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","156",25,14,"2.09","17.5",14,3,"P","0.0","12.0",4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,2.09
2016-08-04,"WL2","201","156",15,14,"0.95","3.0",13,2,"P","0.0","1.0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",4,23,"0.9","9.0",7,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",4,25,"0.7","15.0",12,3,"P","0.0","1.0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",6,49,"1.5","12.0",18,3,"P","0.0","3.0",4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.5
2016-08-04,"WL2","201","157",21,30,"1.16","14.0",11,2,"P","0.0","2.0",4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.16
2016-08-04,"WL2","201","157",24,40,"0.68","3.5",12,2,"P","0.0","3.0",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",44,47,"1.39","8.0",7.5,2,"P","0.0","2.0",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.39
2016-08-04,"WL2","201","157",37,48,"0.52","2.5",6,2,"P","0.0","1.0",1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",40,32,"1.27","9.5",16,3,"P","0.0","6.0",3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.27
2016-08-04,"WL2","201","157",38,19,"0.97","5.5",9,2,"P","0.0","1.0",1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",35,17,"0.55","5.0",2,1,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",34,18,"0.45","5.0",6,1,"P","0.0","1.0",1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",39,15,"0.69","8.0",5,2,"P","0.0","2.0",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",42,14,"0.89","4.0",3,1,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","157",42,9,"1.07","11.5",12,2,"P","0.0","2.0",4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.07
2016-08-04,"WL2","201","158",3,5,"1.2","15.0",16,3,"P","0.0","2.0",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.2
2016-08-04,"WL2","201","158",9,3,"0.98","7.5",2,2,"B","(1)?","0.0",NA,"is bud fl?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","158",19,30,"1.4","12.0",23,3,"P","0.0","7.0",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.4
2016-08-04,"WL2","201","158",34,3,"1.35","14.0",9.5,3,"F","1.0","1.0",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.35
2016-08-04,"WL2","201","158",35,18,"0.89","11.0",15,3,"P","0.0","2.0",5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","158",37,21,"0.68","7.5",8,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","158",37,38,"1.06","8.5",12,2,"P","0.0","4.0",3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.06
2016-08-04,"WL2","201","159",11,15,"0.97","6.5",12,2,"P","0.0","2.0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","159",7,16,"1.73","13.0",20,3,"P","0.0","6.0",5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.73
2016-08-04,"WL2","201","159",8,29,"1.0","6.0",7,2,"P","0.0","2.0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1
2016-08-04,"WL2","201","159",6,32,"1.31","6.0",2.5,2,"P","0.0","2.0",1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.31
2016-08-04,"WL2","201","160",8,44,"1.24","9.5",7,2,"F","2.0","2.0",3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.24
2016-08-04,"WL2","201","160",31,40,"1.11","13.5",11,3,"P","0.0","5.0",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.11
2016-08-04,"WL2","201","161",46,11,"0.95","10.5",10,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","161",40,13,"0.86","6.5",3,1,"F","1.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","161",50,16,"1.18","5.0",2.5,1,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.18
2016-08-04,"WL2","201","161",49,17,"1.1","8.5",6,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.1
2016-08-04,"WL2","201","161",50,31,"1.65","9.5",10,2,"P","0.0","2.0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.65
2016-08-04,"WL2","201","162",5,16,"0.83","8.0",5.5,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","162",42,31,"0.99","9.0",9,2,"P","0.0","2.0",3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","162",48,10,"0.73","7.0",11,3,"F","3.0","2.0",3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","162",49,11,"0.85","7.0",11,2,"P","0.0","1.0",3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","163",8,15,"0.9","7.5",7,2,"P","0.0","1.0",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","163",2,12,"0.8","7.0",4,1,"F","0.0","1.0",0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","163",0,12,"0.91","10.0",6,2,"S","0.0","0.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","165",0,18,"1.19","12.5",5.5,2,"P","0.0","3.0",3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.19
2016-08-04,"WL2","201","165",47,5,"0.9","6.0",3,2,"F","1.0","1.0",1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","166",15,21,"1.55","14.0",17,2,"F","1.0","5.0",4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.55
2016-08-04,"WL2","201","166",21,43,"1.03","6.5",9,2,"S","0.0","1.0",1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.03
2016-08-04,"WL2","201","167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","169",29,7,"0.95","11.5",10,2,"P","0.0","4.0",3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","169",35,6,"0.82","8.5",9.5,2,"P","0.0","1.0",3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","169",40,19,"0.51","3.5",6.5,2,"P","0.0","1.0",2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","150",22,8,"0.61","9.5",6.5,1,"P","0.0","1.0",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,0.5
2016-08-04,"WL2","201","171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-04,"WL2","201","173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","174",35,48,"1 mm","7.5",4,2,"P","0.0","1.0",1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","176",43,25,"1.71","6.0",10,3,"P","0.0","5.0",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.71
2016-08-09,"WL2","202","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","180",38,30,"1.1","9.0",6.5,2,"P","0.0","9.0",2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.1
2016-08-09,"WL2","202","181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","134",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","185",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","187",45,30,"1.18","11.5",10,2,"P","0.0","3.0",3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.18
2016-08-09,"WL2","202","188",6,39,"1.43","13.0",22,3,"P","0.0","10.0",4.4,"silique dispersing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.43
2016-08-09,"WL2","202","189",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","190",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no plants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,NA
2016-08-09,"WL2","202","207",46,18,"1.55","9.5",13.1,2,"P","0.0","4.0",5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,NA,NA,NA,NA,1.55
