"Census_date","Site","Transect_plot","Quad","Phenology","Xcoord","Ycoord","Stem_diam_mm","Height_cm","Num_total_branches","Longest_leaf_cm","Num_flowers","Num_fruits","Longest_fruit_cm","Num_repro_branches","Notes","Census_year","Year_marked","Collected_by","Entered_by","Date_entered","Band","Band_num","Band_color","Pick_color","Sword_color","Tag","2018tag","2019tag","Buds","Herbivory","Category_herbivory","Leaf_thickness_mm","Num_leaves","Canopy_width_cm","Stem_diam_mm_UFA"
2024-06-20,"BH","1","7","X",18,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,738,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","8.5",NA,24,49,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,594,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","9","P",1,1,"7.65","86.4",4,NA,"0","48",10.2,2,"drying out",2024,NA,NA,"GAA",2024-06-24,NA,306,"white",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,7.65
2024-06-20,"BH","1","9","X",1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,303,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","9","X",20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,112,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","9","X",22,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,233,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","9.5",NA,48,28,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,28,"purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","9.5",NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,742,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","10.5","P",33,6,"4.64","42.5",2,NA,"0","17",5.3,2,NA,2024,NA,NA,"GAA",2024-06-24,NA,746,"white",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,4.64
2024-06-20,"BH","1","10.5","X",31,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,706,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1","10.5","X",13,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,131,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","0","P",21,10,"6.65","68",6,NA,"0","15",7.3,2,"plant is drying",2024,NA,NA,"GAA",2024-06-24,NA,12,"white",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,6.65
2024-06-20,"BH","2","0.5","V",20,25,"2.27","11.6",1,"2.6","0","0",NA,0,NA,2024,NA,NA,"GAA",2024-06-24,NA,57,"pink",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,2.27
2024-06-20,"BH","2","0.5","X",28,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,745,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","0.5","X",30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,654,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","1","P",1,48,"3.94","25.3",2,NA,"0","3",4.8,1,NA,2024,NA,NA,"GAA",2024-06-24,NA,609,"pink",NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,3.94
2024-06-20,"BH","2","1","X",3,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,655,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","1","X",29,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,338,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","1.5","X",40,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,683,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","1.5","X",33,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,115,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","1.5","X",12,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,687,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","1.5","X",50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,120,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","1.5","X",50,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,637,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2","X",15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,648,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2","X",20,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,208,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2.5","X",45,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,154,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2.5","X",43,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,667,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2.5","X",41,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,592,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2.5","X",38,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,649,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2.5","X",15,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,28,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","2.5",NA,25,20,NA,NA,NA,NA,NA,NA,NA,NA,"plant not found",2024,NA,NA,"GAA",2024-06-24,NA,638,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3","X",22,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,61,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3","X",19,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,605,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3","X",10,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,360,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3","X",17,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,302,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3","P",7,50,"6.51","93.0",1,NA,"0","59",8.9,1,NA,2024,NA,NA,"GAA",2024-06-24,NA,363,"pink",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,6.51
2024-06-20,"BH","2","3.5","X",30,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,607,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3.5","P",40,27,"3.05","38.8",1,NA,"3","7",8.6,1,"stem broken",2024,NA,NA,"GAA",2024-06-24,NA,773,"pink",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,3.05
2024-06-20,"BH","2","3.5","X",35,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,674,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3.5","X",39,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,695,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3.5","X",33,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,694,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","3.5","X",39,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,143,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","4","X",2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,708,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","4","X",2,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,703,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","4","X",1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,202,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","4","X",10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,257,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","2","4.5","P",33,9,"5.72","19.5",1,NA,"1","1",0.4,1,NA,2024,NA,NA,"GAA",2024-06-24,NA,150,"pink",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,5.72
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lost band down hole",2024,NA,NA,"GAA",2024-06-24,NA,65,"purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,69,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,95,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,51,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,65,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,94,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,57,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,583,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,118,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,588,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,109,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"P",NA,NA,"5.15","39.6",2,NA,"0","26",7.6,2,NA,2024,NA,NA,"GAA",2024-06-24,NA,989,"pink",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,5.15
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,252,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,743,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,696,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,168,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,700,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,276,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,340,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"band had ""4"" only",2024,NA,NA,"GAA",2024-06-24,NA,640,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,678,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,220,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,255,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"plant and band not found",2024,NA,NA,"GAA",2024-06-24,NA,206,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drying out, lost tissue and fruits, could be F",2024,NA,NA,"GAA",2024-06-24,NA,260,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"P",NA,NA,"6.2","18.4",1,NA,"0","5",3.8,1,NA,2024,NA,NA,"GAA",2024-06-24,NA,309,"pink",NA,NA,NA,NA,NA,NA,"Y",NA,NA,NA,NA,6.2
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,673,"pink",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","1",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,87,"purple",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,61,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024-06-20,"BH","DP",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,NA,NA,"GAA",2024-06-24,NA,73,"white",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
